"","Subtype","Provider","Name","Council","Grades published","Wellbeing support","Care and support","Setting","Staffing","Leadership","Complaints upheld since 22/23","Total"
"782","Older People","Private","Morningside Manor Care Home","City of Edinburgh","09/02/2024",5,4,4,5,5,0,23
"783","Learning Disabilities","Voluntary or Not for Profit","Bluebell Cottage","City of Edinburgh","10/10/2023",5,5,5,5,5,0,25
"784","Older People","Private","Cramond Residence","City of Edinburgh","19/04/2023",4,4,5,4,4,2,21
"785","Older People","Private","Lynemore","Highland","18/08/2023",4,4,5,4,4,0,21
"786","Older People","Private","Abbey Court Care Home","Glasgow City","01/03/2022",4,4,4,4,4,0,20
"787","Older People","Private","Milngavie Manor","East Dunbartonshire","15/05/2024",5,5,5,5,4,2,24
"788","Older People","Private","Torrance Lodge","East Ayrshire","18/06/2024",4,4,4,4,4,3,20
"789","Older People","Private","Abbeydale Court Care Centre","South Lanarkshire","23/02/2024",3,3,3,3,3,1,15
"790","Alcohol & Drug Misuse","Private","McGonagall House","Dundee City","24/11/2023",4,4,4,4,4,0,20
"791","Older People","Private","Balhousie Pitlochry Care Home","Perth & Kinross","24/06/2024",3,3,4,4,3,5,17
"792","Older People","Private","Balhousie Rumbling Bridge","Perth & Kinross","03/06/2024",4,4,4,4,4,7,20
"793","Learning Disabilities","Private","Tweed Lodge","City of Edinburgh","25/07/2022",5,5,5,5,5,0,25
"794","Older People","Private","Bon Accord Care - Kingswells Care Home","Aberdeen City","18/04/2024",3,3,3,2,3,1,14
"795","Older People","Private","Lochside Manor","North Lanarkshire","18/09/2023",4,4,4,4,4,0,20
"796","Older People","Voluntary or Not for Profit","Isobel Fraser Home","Highland","08/11/2022",5,4,4,4,5,0,22
"797","Older People","Private","Bayview Care Home","Aberdeenshire","20/03/2024",3,4,4,3,3,0,17
"798","Older People","Private","Craigbank Care Home","Glasgow City","18/09/2023",4,4,4,4,4,2,20
"799","Older People","Private","Deanfield Care Home","Glasgow City","11/07/2023",4,4,4,4,4,0,20
"800","Older People","Private","Elderslie Care Home","Renfrewshire","19/03/2024",4,4,4,4,5,3,21
"801","Older People","Private","Golfhill Care Home","Glasgow City","07/06/2024",3,3,4,3,3,8,16
"802","Older People","Private","Haydale Nursing Home","Glasgow City","13/05/2024",3,3,4,3,3,4,16
"803","Older People","Private","Hillview Care Home","West Dunbartonshire","14/06/2024",2,2,3,4,3,8,14
"804","Older People","Private","Millview Care Home","East Renfrewshire","13/09/2023",5,4,4,4,4,0,21
"805","Older People","Private","Newcarron Court Nursing Home","Falkirk","05/06/2024",4,4,4,3,3,4,18
"806","Older People","Private","Norwood Care Home","East Renfrewshire","11/03/2024",4,4,4,4,4,1,20
"807","Older People","Private","Rutherglen Care Home","South Lanarkshire","15/03/2024",3,3,3,3,3,2,15
"808","Older People","Private","Braemount Nursing Home","Renfrewshire","08/01/2024",3,4,3,5,4,0,19
"809","Older People","Private","Bonnyholm Gardens Care Home","Glasgow City","19/04/2024",4,3,4,4,4,0,19
"810","Older People","Private","Badenscoth House","Aberdeenshire","21/12/2023",4,5,5,5,4,0,23
"811","Older People","Private","Haddington Care Home","East Lothian","19/10/2023",3,3,3,3,3,2,15
"812","Learning Disabilities","Voluntary or Not for Profit","Dougall Court","Midlothian","23/10/2023",4,4,4,4,4,0,20
"813","Older People","Voluntary or Not for Profit","Holy Rosary Care Home","Inverclyde","07/06/2024",3,3,4,3,3,1,16
"814","Older People","Voluntary or Not for Profit","St. Joseph's","Glasgow City","04/09/2023",5,5,4,5,5,0,24
"815","Older People","Private","Murrayside","City of Edinburgh","05/06/2024",5,4,5,5,5,0,24
"816","Older People","Private","Bothwell Castle Care Home","South Lanarkshire","08/02/2024",5,5,5,4,5,1,24
"817","Older People","Private","Glennie House","East Ayrshire","08/12/2023",4,4,4,4,4,1,20
"818","Physical and Sensory Impairment","Voluntary or Not for Profit","Upper Springland Rosiebank Tummel","Perth & Kinross","06/12/2023",5,5,3,4,5,0,22
"819","Physical and Sensory Impairment","Voluntary or Not for Profit","Upper Springland Tayview","Perth & Kinross","21/12/2023",5,5,4,5,5,1,24
"820","Learning Disabilities","Voluntary or Not for Profit","Inspire Donald Dewar Court","Aberdeen City","30/04/2024",5,4,4,5,5,0,23
"821","Learning Disabilities","Private","Maple Ridge Care Home","Highland","12/10/2023",4,4,4,4,4,0,20
"822","Older People","Local Authority","Bellfield Centre","Stirling","10/10/2023",5,4,5,5,4,2,23
"823","Older People","Private","Murray House","Scottish Borders","21/11/2022",4,5,5,4,4,2,22
"824","Older People","Private","Dorward House","Angus","14/08/2023",4,4,5,4,5,0,22
"825","Older People","Private","Carrick House Nursing Home","South Ayrshire","27/05/2022",4,4,4,4,4,0,20
"826","Learning Disabilities","Voluntary or Not for Profit","Arran House Care Home","South Lanarkshire","20/01/2022",5,5,5,5,5,0,25
"827","Older People","Private","Glencairn","City of Edinburgh","08/08/2022",5,5,6,5,5,0,26
"828","Older People","Private","Milford House Care Home","City of Edinburgh","09/01/2024",4,4,4,4,5,0,21
"829","Older People","Private","Trinity House Care Home","City of Edinburgh","04/08/2022",4,4,5,4,4,1,21
"830","Older People","Private","Queens Manor Care Home","City of Edinburgh","22/04/2024",4,4,4,4,4,0,20
"831","Older People","Private","Beech Manor Care Home","Perth & Kinross","10/03/2023",3,4,5,4,4,0,20
"832","Older People","Private","Torry Care Home","Aberdeen City","22/12/2023",4,4,4,5,4,3,21
"833","Older People","Private","Jesmond Care Home","Aberdeen City","06/03/2024",4,4,4,4,4,2,20
"834","Learning Disabilities","Private","Elm Cottage Care Ltd","West Lothian","31/10/2023",4,4,4,4,4,0,20
"835","Older People","Private","Wilby House","Fife","20/03/2024",4,3,4,4,3,1,18
"836","Older People","Private","Marchmont","Fife","27/08/2021",4,3,3,3,3,0,16
"837","Older People","Private","Wallside Grange Care Home","Falkirk","08/11/2023",4,5,4,4,5,0,22
"838","Older People","Local Authority","Victoria Gardens Care Home","Glasgow City","17/06/2024",5,4,4,5,4,0,22
"839","Older People","Private","Ashton Grange","Glasgow City","15/04/2024",3,4,4,4,3,0,18
"840","Older People","Private","Greyfriars Care Centre","Glasgow City","22/09/2022",4,3,4,4,3,0,18
"841","Older People","Local Authority","Meadowburn Care Home","Glasgow City","12/05/2021",3,3,3,3,3,2,15
"842","Older People","Private","Newton House","East Renfrewshire","18/06/2024",4,4,5,5,5,0,23
"843","Older People","Private","Springvale Care Home","East Dunbartonshire","26/06/2024",4,4,4,4,5,4,21
"844","Older People","Private","Bute House Care Home","East Ayrshire","04/06/2024",2,2,2,3,2,2,11
"845","Older People","Private","Northcare Suites","City of Edinburgh","25/10/2023",5,5,6,5,5,1,26
"846","Older People","Private","Kingsacre Care Home","West Dunbartonshire","27/06/2023",4,3,5,4,4,1,20
"847","Learning Disabilities","Private","Deanston House","Stirling","13/09/2023",5,4,4,4,5,0,22
"848","Learning Disabilities","Local Authority","Trindlemoss House","North Ayrshire","02/04/2024",4,4,4,4,4,0,20
"849","Older People","Private","Castlehill Care Home","Highland","10/08/2023",4,4,4,4,4,0,20
"850","Older People","Private","Ashlea Court Care Home","South Lanarkshire","14/10/2022",5,5,4,4,5,0,23
"851","Older People","Private","Etive House Care Home","Argyll & Bute","16/02/2023",4,4,4,4,4,0,20
"852","Older People","Private","Fleet Valley Care Home","Dumfries & Galloway","09/01/2024",3,4,2,4,3,1,16
"853","Older People","Private","Cathay Nursing Home","Moray","05/04/2024",3,3,4,3,3,0,16
"854","Older People","Private","Crosslaw House Care Home","South Lanarkshire","23/05/2024",4,4,3,4,3,1,18
"855","Older People","Private","Burlington Care Home","Glasgow City","13/10/2023",3,3,4,3,3,1,16
"856","Older People","Local Authority","Deanfield Care Home","Scottish Borders","23/10/2023",3,3,4,3,4,0,17
"857","Older People","Local Authority","Garden View","Scottish Borders","14/12/2023",4,4,4,4,4,1,20
"858","Older People","Local Authority","Grove House","Scottish Borders","25/06/2024",4,4,4,5,4,1,21
"859","Older People","Local Authority","Saltgreens Care Home","Scottish Borders","13/05/2024",4,4,4,4,4,2,20
"860","Older People","Local Authority","St. Ronan's Care Home","Scottish Borders","23/02/2023",3,4,4,3,3,0,17
"861","Older People","Local Authority","Waverley Care Home","Scottish Borders","22/11/2022",3,3,3,3,3,1,15
"862","Older People","Private","Greenan Manor Care Home","South Ayrshire","01/11/2023",4,4,6,5,4,1,23
"863","Older People","Private","Arran View Care Home","North Ayrshire","28/05/2024",5,4,5,4,5,2,23
"864","Older People","Private","Kingsmills Care Home","Highland","09/05/2024",2,3,4,2,2,1,13
"865","Older People","Private","Livingston Care Home","West Lothian","13/05/2024",4,4,4,4,4,3,20
"866","Older People","Private","Abercorn House Care Home","South Lanarkshire","26/02/2024",5,5,5,5,5,1,25
"867","Older People","Private","Allanbank Care Home","Dumfries & Galloway","21/02/2024",5,5,5,5,5,1,25
"868","Learning Disabilities","Private","Birch House Care Home","Aberdeen City","11/04/2024",5,4,4,5,4,0,22
"869","Older People","Private","Camilla House Care Home","City of Edinburgh","28/09/2023",5,5,5,5,5,0,25
"870","Older People","Private","Forefaulds Care Home","South Lanarkshire","03/05/2024",3,3,3,3,3,2,15
"871","Learning Disabilities","Private","Millport Care Centre","North Ayrshire","05/10/2023",4,4,3,4,5,1,20
"872","Learning Disabilities","Private","Park Lodge Care Home","Aberdeenshire","11/03/2024",5,5,5,5,5,0,25
"873","Older People","Private","Pitcairn Lodge Nursing Home","Aberdeenshire","04/12/2023",3,4,3,4,4,2,18
"874","Older People","Private","Queens Care Home","South Ayrshire","07/12/2022",4,4,4,4,4,1,20
"875","Older People","Private","Tyneholm Stables Care Home","East Lothian","08/01/2024",3,4,3,3,3,1,16
"876","Older People","Private","Laurels Lodge Care Home","Aberdeen City","20/03/2024",5,5,5,5,5,0,25
"877","Older People","Private","Buchanan House Care Home","East Dunbartonshire","13/11/2023",3,3,4,3,3,0,16
"878","Older People","Private","Buchanan Lodge Care Home","East Dunbartonshire","16/04/2024",4,4,4,5,4,0,21
"879","Older People","Private","Havencourt Care Home","Aberdeenshire","05/03/2024",2,3,2,3,2,1,12
"880","Older People","Private","Maryfield West Care Home","Aberdeen City","12/02/2024",4,4,4,4,4,0,20
"881","Older People","Private","Meadowvale Care Home","West Lothian","14/06/2023",5,4,4,5,5,0,23
"882","Older People","Private","Bearehill Care Home","Angus","15/04/2024",3,4,4,4,4,4,19
"883","Older People","Private","Craighead Care Home","Fife","23/04/2024",5,4,4,5,5,1,23
"884","Older People","Private","Dounemount Care Home","Aberdeenshire","27/09/2023",4,4,4,4,4,0,20
"885","Older People","Private","Earlsferry House Care Home","Fife","02/05/2024",5,4,3,4,4,0,20
"886","Older People","Private","Garioch Care Home","Aberdeenshire","28/06/2024",4,4,4,4,4,0,20
"887","Older People","Private","Henderson House","Fife","09/04/2024",4,4,4,4,5,0,21
"888","Mental Health Problems","Private","Alderwood House","West Dunbartonshire","02/02/2024",3,3,3,3,3,2,15
"889","Older People","Private","Almond Court Care Home","Glasgow City","13/02/2024",4,3,4,4,3,3,18
"890","Older People","Private","Larkfield View Care Centre","Inverclyde","08/04/2024",4,3,4,4,3,0,18
"891","Older People","Private","Grandholm Care Home","Aberdeen City","11/03/2024",5,5,5,5,5,0,25
"892","Older People","Private","Three Towns Care Home","North Ayrshire","22/05/2023",4,4,4,4,4,0,20
"893","Older People","Private","Beechwood Care Home","North Lanarkshire","28/07/2023",4,4,4,4,4,0,20
"894","Older People","Private","Heatherfield Nursing Home","West Lothian","08/01/2024",6,5,5,5,6,0,27
"895","Older People","Private","Almond View Care Home","Glasgow City","10/11/2023",4,4,4,4,4,0,20
"896","Older People","Private","Craigielea Care Home","Renfrewshire","08/04/2024",4,4,4,4,4,5,20
"897","Older People","Private","Bankview Care Home","Falkirk","18/09/2023",5,4,5,4,5,0,23
"898","Older People","Private","Gowrie House Care Home","Fife","13/12/2023",4,3,3,3,5,3,18
"899","Older People","Voluntary or Not for Profit","St. Mary's Care Home","Angus","26/02/2024",5,5,4,5,5,0,24
"900","Older People","Private","Hallhouse Care Home","East Ayrshire","29/06/2023",4,5,4,5,5,2,23
"901","Older People","Private","Harbour House Care Home","East Lothian","05/06/2024",4,4,5,4,4,3,21
"902","Older People","Private","Bridge of Weir Care Home","Renfrewshire","15/05/2024",3,3,5,3,3,5,17
"903","Older People","Local Authority","Queens Quay House","West Dunbartonshire","06/02/2024",4,5,6,5,4,0,24
"904","Older People","Private","Eilean Dubh","Highland","22/12/2023",4,4,5,4,4,0,21
"905","Older People","Private","Renaissance@Malin Court","South Ayrshire","19/12/2022",4,4,4,4,4,0,20
"906","Older People","Private","The Manor","City of Edinburgh","01/09/2023",4,4,5,5,5,0,23
"907","Older People","Private","Kincairney House","Perth & Kinross","27/05/2024",3,3,5,3,3,2,17
"908","Older People","Health Board","Home Farm Care Home","Highland","21/03/2024",4,4,4,4,3,0,19
"909","Older People","Voluntary or Not for Profit","The General Anderson Trust","Moray","17/04/2024",4,4,4,4,4,0,20
"910","Older People","Private","Kirk Lane Nursing Home","West Lothian","07/12/2023",5,NA,NA,NA,5,1,10
"911","Older People","Private","Queens View Harbour Luxury Suites","South Ayrshire","30/10/2023",5,5,5,5,5,0,25
"912","Mental Health Problems","Private","Willow Lodge","Falkirk","15/02/2024",4,4,4,4,4,1,20
"913","Learning Disabilities","Private","Linkfield Residential Ltd","East Lothian","30/05/2023",4,4,4,4,4,0,20
"914","Older People","Private","Oakeshott House","Stirling","31/05/2024",4,4,4,4,4,3,20
"915","Older People","Private","Belleaire House","Inverclyde","18/04/2024",3,3,3,3,3,2,15
"916","Older People","Private","Kincaid House","Inverclyde","17/07/2023",3,4,4,4,3,1,18
"917","Older People","Private","Kynnaird House Care Home","Aberdeenshire","14/07/2023",5,5,5,5,5,1,25
"918","Older People","Private","Redwoods Care Home","Highland","17/06/2022",5,NA,NA,NA,5,1,10
"919","Older People","Private","Parklands Care Home","Clackmannanshire","20/05/2024",4,4,5,4,4,5,21
"920","Older People","Private","St Olafs Care Home","Highland","14/05/2024",4,NA,NA,NA,3,0,7
"921","Older People","Private","Forthland Lodge Care Home","City of Edinburgh","22/09/2023",4,4,4,3,3,0,18
"922","Mental Health Problems","Private","Kinmylies Lodge","Highland","08/11/2022",5,4,5,4,5,0,23
"923","Older People","Private","Crimond Care Home","Aberdeenshire","13/11/2023",4,4,4,4,5,0,21
"924","Older People","Private","Auchtercrag Care Home","Aberdeenshire","13/05/2024",3,4,4,3,4,2,18
"925","Older People","Private","Leven Beach Care Home","Fife","04/04/2024",5,4,4,4,5,2,22
"926","Older People","Private","The Grove Care Home","Aberdeenshire","18/06/2024",3,3,4,3,3,1,16
"927","Older People","Private","Carlingwark House","Dumfries & Galloway","15/04/2024",3,4,3,3,3,0,16
"928","Older People","Private","Merse House","Dumfries & Galloway","08/01/2024",3,3,3,4,4,0,17
"929","Older People","Private","Cornwall Park","Dumfries & Galloway","14/06/2023",4,3,3,4,4,1,18
"930","Older People","Private","Munches Park House","Dumfries & Galloway","24/05/2024",3,3,3,3,3,0,15
"931","Older People","Private","Charnwood Lodge","Dumfries & Galloway","04/10/2022",4,3,4,4,4,1,19
"932","Older People","Private","Thorney Croft","Dumfries & Galloway","15/01/2024",4,4,3,4,4,1,19
"933","Older People","Private","Elsie Inglis Nursing Home","City of Edinburgh","03/11/2023",4,3,5,4,3,0,19
"934","Mental Health Problems","Private","Wallacetown Gardens","South Ayrshire","07/12/2023",5,4,5,4,4,0,22
"935","Older People","Private","Roselea Court Care Home","Stirling","30/05/2023",4,4,5,4,4,1,21
"936","Physical and Sensory Impairment","Voluntary or Not for Profit","Eastfields","Glasgow City","24/06/2024",4,4,4,4,4,1,20
"937","Older People","Private","Kingsley Care Home","Renfrewshire","15/05/2024",3,3,5,4,3,1,18
"938","Physical and Sensory Impairment","Private","Murdostoun Neurological Care Centre","North Lanarkshire","03/11/2023",3,3,3,4,3,1,16
"939","Mental Health Problems","Private","Moorpark Place","North Ayrshire","09/01/2024",4,4,4,4,4,0,20
"940","Older People","Private","Hermitage  House","Argyll & Bute","13/06/2024",5,4,4,5,5,0,23
"941","Older People","Private","Middleton Hall","West Lothian","02/05/2023",5,NA,NA,NA,5,1,10
"942","Older People","Private","Atlantic View Care Home","South Ayrshire",NA,NA,NA,NA,NA,NA,0,0
"943","Older People","Private","Balmoral By Northcare","Glasgow City","09/05/2023",5,4,6,3,4,1,22
"944","Older People","Private","Centenary House","North Lanarkshire","14/05/2024",3,3,3,3,3,1,15
"945","Older People","Private","Creggan Bahn Court","South Ayrshire","09/05/2023",5,5,5,5,5,0,25
"946","Older People","Private","Stobhill Nursing Home","Glasgow City","29/08/2023",4,4,4,4,4,0,20
"947","Older People","Private","Cardonald Care Home","Glasgow City","10/06/2024",3,4,3,4,4,0,18
"948","Older People","Private","Baillieston Care Home","Glasgow City","14/05/2024",3,3,3,3,3,0,15
"949","Older People","Private","Boclair Care Home","East Dunbartonshire","12/12/2023",5,5,5,5,4,0,24
"950","Older People","Voluntary or Not for Profit","Gibson House Care Home","Fife","17/06/2024",4,4,3,4,4,1,19
"951","Older People","Private","Clarence Court Care Home","Glasgow City","24/05/2024",3,3,4,3,3,1,16
"952","Older People","Private","Tantallon House","East Lothian","29/04/2024",3,3,4,3,3,5,16
"953","Older People","Private","Woodlands Care Home","Aberdeen City","11/07/2023",3,3,4,4,4,2,18
"954","Alcohol & Drug Misuse","Voluntary or Not for Profit","Phoenix Futures National Specialist Family Service, Harper House","North Ayrshire","23/08/2023",4,5,5,4,4,0,22
"955","Older People","Private","Clyde Court Care Home","West Dunbartonshire","20/06/2024",3,4,3,3,3,1,16
"956","Older People","Private","Ryan Meadows Care Home","South Lanarkshire","05/06/2024",3,3,3,3,3,4,15
"957","Alcohol & Drug Misuse","Voluntary or Not for Profit","Mother and Child Recovery House - Tayside","Dundee City","28/03/2024",6,NA,NA,NA,5,0,11
"958","Older People","Private","Liberton Brae","City of Edinburgh","15/12/2023",4,4,5,4,4,0,21
"959","Older People","Private","Craigieknowes","Perth & Kinross","23/04/2024",3,3,4,3,3,3,16
"960","Older People","Private","Benarty View Care Home","Fife",NA,NA,NA,NA,NA,NA,1,0
"961","Older People","Private","Haugh House","City of Edinburgh","17/07/2023",5,4,5,5,5,0,24
"962","Older People","Private","Craighall House","City of Edinburgh",NA,NA,NA,NA,NA,NA,0,0
"963","Older People","Private","Roselea House","Fife","06/10/2023",5,NA,NA,NA,5,0,10
"964","Older People","Private","Olympia House","Glasgow City","20/11/2023",4,4,4,4,4,1,20
"965","Older People","Private","Northgate House Care Home","Glasgow City","20/06/2024",3,3,4,3,3,1,16
"966","Older People","Private","Craigie Care Home","East Ayrshire",NA,NA,NA,NA,NA,NA,0,0
"967","Older People","Private","Millfield House","Scottish Borders","22/03/2024",4,4,NA,NA,4,0,12
"968","Older People","Private","Fernlea Care Home","Fife",NA,NA,NA,NA,NA,NA,0,0
"969","Older People","Private","Preston Care Home","Fife","04/07/2023",4,4,5,4,4,1,21
"970","Older People","Private","Camilla Care Home.","Fife","09/04/2024",4,4,5,4,4,2,21
"971","Older People","Local Authority","Kintyre Care Centre","Argyll & Bute","10/01/2024",3,4,3,3,4,0,17
"972","Older People","Private","Barrogil House Care Home","Fife","05/02/2024",4,4,5,4,5,1,22
"973","Older People","Private","Finavon Court Care Home","Fife","17/08/2023",4,5,5,5,5,0,24
"974","Older People","Private","Lomond View Care Home","Fife","18/06/2024",3,3,3,3,3,1,15
"975","Mental Health Problems","Private","Harbour Care Centre","Fife","23/04/2024",4,4,5,3,3,0,19
"976","Older People","Private","Willow House Care Home","Fife","11/06/2024",2,2,2,3,2,1,11
"977","Older People","Private","Craigie House Care Home","Fife","14/03/2024",3,3,3,3,3,0,15
"978","Older People","Private","Mearns View Care Home","East Renfrewshire","24/06/2024",5,4,5,5,4,0,23
"979","Older People","Private","Methven House Care Home","Fife","07/06/2024",3,4,3,3,3,2,16
"980","Older People","Private","Walton House Care Home","Fife","14/06/2024",4,4,3,3,4,0,18
"981","Older People","Local Authority","North Merchiston","City of Edinburgh","02/02/2024",4,4,4,4,4,0,20
"982","Older People","Local Authority","Castlegreen","City of Edinburgh","14/02/2024",5,4,4,4,5,2,22
"983","Older People","Private","Alexander House Care Home","Fife","13/12/2023",3,3,4,3,3,1,16
"984","Older People","Local Authority","Taigh Shiphoirt","Na h-Eileanan Siar","25/06/2024",3,3,5,4,3,0,18
"985","Older People","Private","Northcare Residences","Stirling","19/06/2024",5,5,5,5,5,0,25
"986","Older People","Private","Riverside Care Home","Aberdeen City","27/02/2024",3,3,4,3,3,1,16
"987","Older People","Private","Weston View","Moray","15/02/2024",4,5,5,4,5,0,23
"988","Older People","Private","Wakefield House Care Home","Moray","28/02/2024",4,4,4,4,4,0,20
"989","Learning Disabilities","Private","Inspired breaks","Fife",NA,NA,NA,NA,NA,NA,0,0
"990","Mental Health Problems","Private","Whiteford House","South Ayrshire",NA,NA,NA,NA,NA,NA,0,0
"991","Older People","Health Board","Mains House","Highland","28/06/2024",4,3,3,4,3,0,17
"992","Older People","Private","Dalgety Bay Care Home","Fife",NA,NA,NA,NA,NA,NA,0,0
"993","Older People","Private","Kendale Hall Care Home","Angus",NA,NA,NA,NA,NA,NA,0,0
"994","Older People","Private","Castle Lodge","Aberdeenshire","01/05/2024",4,4,3,4,4,0,19
"995","Older People","Private","Storyville House","Angus",NA,NA,NA,NA,NA,NA,0,0
"996","Older People","Private","Lochbank","Angus","20/05/2024",2,2,3,1,2,0,10
"997","Older People","Private","Carmichael House","Dundee City","29/02/2024",3,3,3,4,3,0,16
"998","Older People","Private","Windyedge Care Home","Angus",NA,NA,NA,NA,NA,NA,0,0
"999","Older People","Private","Redwood House","Dundee City","19/03/2024",4,4,3,4,5,0,20
"1000","Older People","Private","Kirk Lodge","Aberdeenshire","07/03/2024",3,3,3,3,3,1,15
"1001","Older People","Private","Riverview Lodge","Fife","02/05/2024",4,3,4,4,4,0,19
"1002","Older People","Private","Bennochy Lodge Care Home","Fife","12/06/2024",2,2,3,3,2,1,12
"1003","Older People","Private","Hilton Lodge Care","East Lothian",NA,NA,NA,NA,NA,NA,0,0
"1004","Older People","Voluntary or Not for Profit","St. Catherine's Care Home","South Lanarkshire",NA,NA,NA,NA,NA,NA,0,0
"1005","Older People","Private","Deveron House","Aberdeenshire",NA,NA,NA,NA,NA,NA,0,0
"1006","Older People","Private","Southpark Care Home","City of Edinburgh",NA,NA,NA,NA,NA,NA,0,0
"1007","Older People","Private","Whitefield Lodge","East Dunbartonshire",NA,NA,NA,NA,NA,NA,0,0
"1008","Older People","Private","Carrickstone Care Home","North Lanarkshire",NA,NA,NA,NA,NA,NA,0,0
"1009","Older People","Private","Marcus Humphrey House","Inverclyde",NA,NA,NA,NA,NA,NA,0,0
